,Artist,Album
1368,Yot Club,YKWIM? EP
1369,Metronomy,Posse EP Volume 1
1370,Field Guide,Make Peace With That
1371,Rosie Lowe,"Now, You Know"
1372,Andrea Kirwin,Bloom
1373,Alex Orange Drink,Everything Is Broken Maybe That's Ok
1374,Tropical F*ck Storm,Deep States
1375,Justus Proffit,SpeedStar
1376,Children Collide,Time Itself
1377,Deeper,Auto-Pain (Deluxe)
1378,Johnny & the Man Kids,"Home, Wherever That May Be"
1379,Central Heat Exchange,Central Heat Exchange
1380,Slime Ring,SLM_RNG_EP
1381,Anthony OKS,In the Garden
1382,The Queers,Reverberation
1383,Anthony James Band,Deadwest
1384,Breeze,Only Up
1385,Grady Strange,Getting Stranger
1386,Strange Parade,The Watchers
1387,HOMESHAKE,Under The Weather
1388,Flossing,Queen of the Mall
1389,Gotts Street Park,Diego E.P.
1390,Confusions,Grounds
1391,Injury Reserve,By the Time I Get to Phoenix
1392,Parcels,Day/Night
1393,Slow Leaves,Holiday
1394,Feng Suave,So Much for Gardening
1395,Machinedrum,Psyconia
1396,Spencer.,Are U Down?
1397,Sonny & The Sunsets,New Day with New Possibilities
1398,Chubby and the Gang,The Mutt's Nuts
1399,Joon Moon,Chrysalis
1400,We Were Promised Jetpacks,Enjoy the View
1401,Little Simz,Sometimes I Might Be Introvert
1402,Turnstile,GLOW ON
1403,Poise,Vestiges
1404,Sam Shaffer,Quiet Delta
1405,Bad Waitress,No Taste
1406,Daniel Romano,Cobra Poems
1407,Morly,Til I Start Speaking
1408,Joy Orbison,still slipping vol. 1
1409,Villagers,Fever Dreams
1410,Alexa Rose,Headwaters
1411,Petey,Lean Into Life
1412,Film School,We Weren't Here
1413,"Lance Skiiwalker, Nick hakim",Tales From The TelescopeChapter 1: Rebirth
1414,Slothrust,Parallel Timeline
1415,Thrice,Horizons / East
1416,Colleen Green,Cool
1417,Saint Etienne,I've Been Trying To Tell You
1418,Keaton Henson,Fragments EP
1419,Julia Bardo,"Bauhaus, L'Appartamento"
1420,Shelter Boy,Failure Familiar
1421,Sister.,Something / Nothing
1422,Brielle Brown,The Well
1423,James Vincent McMorrow,Grapefruit Season
1424,The Bots,2 Seater
1425,Hovvdy,True Love
1426,Y.O.G.A,You're Only Great Always I & II
1427,Balthazar,Sand Castle Tapes
1428,LEISURE,Side B
1429,Kid Kapichi,This Time Next Year
1430,Bad Bad Hats,Walkman
1431,Ada Lea,one hand on the steering wheel the other sewing a garden
1432,Amyl and The Sniffers,Comfort To Me
1433,Ashley Shadow,Only The End
1434,Delafaye,Rose
1435,Kraak & Smaak,Scirocco
1436,Aunty Social,It Looks Friendly
1437,Cullah,Half
1438,Fotocrime,Heart of Crime
1439,E.VAX,E.VAX
1440,Sammy Wells,Floating Away
1441,Gustaf,Audio Drag for Ego Slobs
1442,The F16s,Is It Time to Eat the Rich yet?
1443,Black Marble,Fast Idol
1444,Lala Lala,I Want The Door To Open
1445,Corbu,Bad Trip Reports Vol 1.
1446,Animal Electricity,TheSameThings
1447,GOWNS,Revelations
1448,The Greeting Committee,Dandelion
1449,Andy Shauf,Wilds
1450,Pokey LaFarge,In The Blossom of Their Shade
1451,SWANES,Sticky Concrete
1452,Oliver Rodley,Sweet Green Tea
1453,Shannon Lay,Geist
1454,Nite Jewel,No Sun
1455,Georgia State Line,In Colour
1456,Low,HEY WHAT
1457,Olympic Music,Olympic Music
1458,Nolan Potter,Music is Dead
1459,Julia Shapiro,Zorked
1460,Jordan Rakei,What We Call Life
1461,Princess Century,s u r r e n d e r
1462,The Franklin Electric,This Time I See It
1463,Atmosphere,WORD?
1464,Silas Short,Drawing
1465,Bomba Estereo,Deja
1466,Sitcom,Smoothie
1467,Fotoform,Horizons
1468,Gone to Color,Gone To Color
1469,Helvetia,Presents Sudden Hex
1470,Ducks Ltd.,Modern Fiction
1471,La Luz,La Luz
1472,IR,Chapter 1: Once Twice Melody [EP]
1473,Glasshealer,But The Weight Of Comfort Pulled Me Back Down
1474,Public Service Broadcasting,Bright Magic
1475,Future Crib,Full Time Smile
1476,Illuminati Hotties,Let Me Do One More
1477,brigitte Bardini,Stellar Lights
1478,Porches,All Day Gentle Hold !
1479,The Record Company,Play Loud
1480,We Are Scientists,Huffy
1481,The Velveteers,Nightmare Daydream
1482,Efterklang,Windflowers
1483,Royel Otis,Campus
1484,audiobooks,Astro Tough
1485,Boyscouts,Wayfinder
1486,Low Hum,Nonfiction
1487,Morningsiders,Easy Does It
1488,Novelty Island,How Are You Coping With This Century?
1489,Matt Maltese,Good Morning It's Now Tomorrow
1490,POND,9
1491,Stranded,Midnight Sun
1492,Geographer,Down and Out in the Garden of Earthly Delights
1493,Apophis,Apophis
1494,Church Girls,Still Blooms
1495,Franky Fade,CONTRADICTIONS
1496,Park Hye Jin,Before I Die
1497,Tirzah,Colourgrade
